66c06b9,ella-t,Update version number,,2 hours ago
609fdac,DiosMussolinos,Return to delivery,,Mon 13:56
e1b73b2,DiosMussolinos,Merge branch 'staging' of https://github.com/Play-Now-Games/GonePhishing-Unity-2021.1.18f1 into staging,,Mon 13:54
4df371f,DiosMussolinos,Little Update for video - DONT MAKE A DELIVERY WITH THAT,,Mon 13:54
e35f34a,Avery,Removed Email Generation test functions and broken test scene,,Mon 12:31
2135c6e,DiosMussolinos,.,,Fri 14:44
2c53978,DiosMussolinos,.,,Fri 14:39
df75ffe,DiosMussolinos,Removing Debugs, and empty folders,,Fri 14:10
15f82ff,DiosMussolinos,Scene Baked And Clock Moving,,Wed May 11 15:06
b26cc2c,DiosMussolinos,Baking,,Tue May 10 22:06
e0c55cb,Avery,Changes into main scene,,Tue May 10 16:07
0f9ee84,Avery,Compress Normal / Occlusion maps,,Tue May 10 16:02
b747296,Avery,Updated Walls,,Tue May 10 15:42
95a548c,Avery,Assorted Normal/Occlusion maps,,Tue May 10 15:29
93b6d98,Avery,Clock Normal/Occlusion maps,,Tue May 10 15:18
c1deabf,Avery,Speaker Normal/Occlusion maps,,Tue May 10 15:13
c24ae81,Avery,PC Normal/Occlusion maps,,Tue May 10 15:08
7874973,ella-t,Changed to spot light for better shadows,,Tue May 10 12:33
a03dbc8,Avery,Updated taskbar pannel,,Tue May 10 12:22
d6c3687,Avery,Updated Brochure Texture,,Mon May 9 18:47
bd468ee,Avery,Notepad text issue fix,,Mon May 9 18:26
61c0062,Avery,Better "fade in" visual for computer waking up.,,Mon May 9 18:25
da17405,Avery,Basic visual indicator for computer starting,,Mon May 9 18:10
091a0bf,Avery,Time now only starts after first click on computer,,Mon May 9 17:58
c3e34dd,Avery,Merge branch 'staging' into Avery,,Mon May 9 16:03
d245360,Avery,Merge branch 'staging' of https://github.com/DiosMussolinos/GonePhishing-Unity-2021.1.18f1 into staging,,Mon May 9 14:00
7707fc1,Avery,Pop-up spawning re-fixed,,Mon May 9 13:58
c5dabbc,ella-t,Fix clicking at the end of sound clip,,Mon May 9 13:35
9430bfe,ella-t,Fix WebGL shadow render distance,,Mon May 9 12:35
d4ffb77,ella-t,Update game window size,,Mon May 9 12:32
7efdedc,Avery,Updated login screen,,Fri May 6 12:14
ae481c6,Avery,Updated Tab buttons,,Fri May 6 11:50
2747ed8,ella-t,Merge branch 'staging',,Wed May 4 16:20
bcbe82b,ella-t,Change version number,,Wed May 4 16:20
e0edcff,Avery,Update TimeAnimation.cs,,Wed May 4 16:17
82e8610,Avery,Update TimeAnimation.cs,,Wed May 4 16:16
66b7642,Avery,Timer sound fix,,Wed May 4 16:13
7b6fff3,Avery,Final Score and time settings,,Wed May 4 16:02
419241c,Avery,Score/multiplier display into main scene,,Wed May 4 15:55
534b5ad,Avery,Merge branch 'Avery' into staging,,Wed May 4 15:52
c8a54e2,Avery,Removed score given for closing pop-up,,Wed May 4 15:50
d0c406a,Hughes83,Archive Emails / Email Tweaks,Added final archive emails and made changes to existing emails in generator
,Wed May 4 15:50
